Time	Iteration	AverageReward	StdRewards	MaxRewardRollout	MinRewardRollout	timesteps
365.6478488445282	1160	362.21547819570765	18.183438302733283	408.15646696980485	343.0351212863457	18560000
368.77175760269165	1170	344.9879580661186	37.08130597344531	447.8589885134305	298.69575843921046	18720000
372.1497564315796	1180	395.32589140221114	30.24054511369931	470.76880564774206	348.60386026006995	18880000
375.27903389930725	1190	314.56981796058915	13.338054966986668	369.58545354742654	294.84118285386285	19040000
378.42793345451355	1200	353.06297969970115	1.9131974489619425	355.9721171850823	348.8716104038055	19200000
381.6391396522522	1210	351.9860551843647	38.311061691701774	490.2749152234034	302.3351801815192	19360000
385.0528712272644	1220	335.6255939785242	20.441755739207725	352.5213051087586	282.32176502838064	19520000
388.26552987098694	1230	373.09665926375317	29.445587825237933	455.7399643812511	346.79319731657563	19680000
391.4147367477417	1240	360.84080410896985	22.662271283538196	434.9811527703162	339.9936497114761	19840000
394.55516743659973	1250	335.13871500678835	3.956401057289739	345.97066491907384	329.71891222246194	20000000
397.6978850364685	1260	380.1973437702818	7.995469436153932	393.7974560835123	358.31633240071784	20160000
400.8024888038635	1270	343.48577421300934	10.088143964530975	355.7146061030207	309.80311024008347	20320000
404.0339868068695	1280	339.06165593339193	19.249563418739413	406.08112913686153	303.65098960814555	20480000
407.278685092926	1290	273.3008301623568	5.392115881631335	302.8910348376643	265.5997821142856	20640000
410.58730816841125	1300	355.0709330013413	22.6812512409635	450.1987330333554	331.954953865319	20800000
414.2139766216278	1310	340.07359013302704	6.874965658103466	344.93431215307686	293.22232877881453	20960000
417.73824524879456	1320	290.57919845650184	2.6462930226962293	294.46016505834666	286.4858366963049	21120000
421.07734274864197	1330	346.28392039816475	2.301296884478411	351.781322061254	340.0164126930475	21280000
424.367395401001	1340	336.82584782617084	3.027193892072393	341.3173210648159	330.3484432793931	21440000
427.7436590194702	1350	337.9950233174199	3.25771258052328	342.2977114886503	332.10673849816396	21600000
430.89167833328247	1360	389.4447898022926	3.085034700005397	394.26900355747705	383.95173014061186	21760000
434.0865421295166	1370	347.21933240778975	13.274939949842542	406.43169159688125	332.40630168346047	21920000
